time_step,Q
0,0
900,0
1800,0
2700,0
3600,0
4500,0
5400,0
6300,5
7200,10
8100,15
9000,20
9900,15
10800,20
11700,25
12600,30
13500,25
14400,20
15300,15
16200,20
17100,25
18000,30
18900,35
19800,40
20700,35
21600,40
22500,45
23400,50
24300,55
25200,60
26100,55
27000,60
27900,55
28800,50
29700,45
30600,50
31500,45
32400,40
33300,35
34200,30
35100,35
36000,30
36900,35
37800,30
38700,25
39600,20
40500,15
41400,10
42300,5
43200,5
44100,10
45000,5
45900,5
46800,5
47700,10
48600,15
49500,20
50400,25
51300,20
52200,25
53100,30
54000,25
54900,30
55800,35
56700,30
57600,25
58500,20
59400,15
60300,20
61200,15
62100,10
63000,5
63900,5
64800,10
65700,15
66600,10
67500,15
68400,10
69300,15
70200,20
71100,25
72000,30
72900,25
73800,20
74700,15
75600,10
76500,5
77400,10
78300,15
79200,20
80100,15
81000,10
81900,5
82800,5
83700,10
84600,5
85500,5
86400,10
